Date,Service,Region,UsageHours,Cost
2023-02-21,AWS Lambda,us-east-1,8.96,20.64
2023-01-15,Amazon EC2,eu-west-1,8.25,46.76
2023-03-13,Amazon CloudFront,eu-west-1,18.75,21.58
2023-03-02,Amazon RDS,eu-west-1,2.99,43.91
2023-01-21,AWS Lambda,ap-south-1,6.45,30.31
2023-03-24,Amazon CloudFront,eu-west-1,17.85,12.43
2023-03-28,Amazon CloudFront,us-east-1,13.61,17.86
2023-03-16,Amazon CloudFront,ap-south-1,3.94,4.29
2023-03-16,AWS Lambda,eu-west-1,21.29,16.74
2023-03-29,AWS Lambda,us-east-1,10.05,33.91
2023-01-24,Amazon S3,ap-south-1,20.04,3.7
2023-01-03,Amazon RDS,eu-west-1,19.12,10.35
2023-01-22,Amazon EC2,eu-west-1,15.36,19.13
2023-02-22,Amazon CloudFront,eu-west-1,12.37,49.1
2023-01-02,Amazon S3,ap-south-1,23.53,39.26
2023-03-29,Amazon EC2,us-east-1,4.33,36.7
2023-01-30,Amazon S3,us-east-1,17.68,5.9
2023-02-07,AWS Lambda,us-west-2,5.4,39.07
2023-01-02,Amazon CloudFront,eu-west-1,8.78,39.28
2023-03-05,Amazon EC2,us-west-2,8.1,30.1
2023-03-01,Amazon EC2,us-west-2,22.78,49.52
2023-01-21,Amazon EC2,us-east-1,23.25,16.33
2023-02-02,Amazon EC2,ap-south-1,5.21,47.07
2023-03-17,Amazon EC2,ap-south-1,1.51,45.75
2023-02-27,Amazon S3,us-east-1,17.56,0.67
2023-01-22,Amazon CloudFront,ap-south-1,10.61,22.56
2023-03-30,AWS Lambda,us-west-2,3.04,48.86
2023-02-18,AWS Lambda,eu-west-1,16.73,5.25
2023-02-28,AWS Lambda,us-east-1,13.54,27.43
2023-02-11,AWS Lambda,eu-west-1,23.55,48.95
2023-03-01,Amazon S3,ap-south-1,6.23,27.82
2023-03-21,Amazon RDS,eu-west-1,10.29,9.57
2023-01-15,Amazon CloudFront,ap-south-1,13.48,29.15
2023-03-03,Amazon EC2,ap-south-1,19.21,10.3
2023-03-03,Amazon RDS,us-west-2,13.62,26.03
2023-02-16,AWS Lambda,ap-south-1,15.1,3.79
2023-03-03,Amazon RDS,us-west-2,6.2,30.31
2023-02-20,Amazon CloudFront,us-west-2,20.48,25.89
2023-02-24,Amazon EC2,us-west-2,10.86,37.03
2023-03-05,Amazon EC2,us-east-1,4.24,31.57
2023-01-03,Amazon CloudFront,us-east-1,16.28,27.53
2023-02-20,Amazon CloudFront,ap-south-1,5.97,34.52
2023-01-07,AWS Lambda,us-west-2,3.24,7.28
2023-01-21,Amazon EC2,us-east-1,20.83,29.81
2023-03-14,Amazon RDS,us-west-2,11.58,8.69
2023-02-08,Amazon S3,eu-west-1,18.23,46.28
2023-01-18,Amazon S3,eu-west-1,7.68,3.51
2023-01-04,Amazon CloudFront,eu-west-1,19.1,21.58
2023-03-30,AWS Lambda,ap-south-1,3.57,34.82
2023-03-01,Amazon S3,us-west-2,9.19,22.96
2023-01-14,Amazon EC2,eu-west-1,23.5,4.7
2023-01-09,Amazon CloudFront,us-east-1,19.26,27.71
2023-03-31,Amazon RDS,eu-west-1,12.44,32.12
2023-02-22,Amazon CloudFront,eu-west-1,8.81,35.22
2023-01-02,Amazon RDS,eu-west-1,21.06,18.73
2023-03-25,Amazon CloudFront,ap-south-1,13.53,28.23
2023-03-01,Amazon CloudFront,us-east-1,18.44,22.59
2023-03-12,Amazon CloudFront,us-west-2,18.34,33.64
2023-02-13,Amazon RDS,us-east-1,1.41,29.22
2023-01-08,Amazon RDS,us-west-2,3.9,26.34
2023-02-16,Amazon CloudFront,ap-south-1,16.17,12.55
2023-02-04,Amazon S3,ap-south-1,4.72,0.2
2023-03-19,AWS Lambda,ap-south-1,6.88,8.79
2023-03-22,AWS Lambda,ap-south-1,22.77,5.94
2023-02-05,AWS Lambda,us-west-2,13.88,22.51
2023-02-19,Amazon RDS,eu-west-1,18.27,30.65
2023-01-04,Amazon RDS,us-west-2,13.83,10.73
2023-01-02,Amazon S3,us-east-1,13.71,46.96
2023-01-06,AWS Lambda,ap-south-1,3.17,0.43
2023-02-23,AWS Lambda,ap-south-1,8.9,38.64
2023-01-04,Amazon CloudFront,us-east-1,7.5,31.3
2023-02-23,Amazon RDS,us-west-2,9.99,18.74
2023-03-04,AWS Lambda,eu-west-1,19.36,2.62
2023-01-18,Amazon S3,eu-west-1,9.55,31.41
2023-03-31,Amazon S3,us-east-1,11.39,19.34
2023-02-13,AWS Lambda,eu-west-1,10.14,46.82
2023-02-03,Amazon RDS,us-west-2,3.15,27.15
2023-03-15,Amazon S3,us-west-2,11.14,46.99
2023-03-03,Amazon CloudFront,us-east-1,5.5,11.1
2023-01-14,Amazon S3,us-west-2,5.29,36.31
2023-02-17,Amazon EC2,ap-south-1,3.16,30.9
2023-01-15,Amazon EC2,us-east-1,9.2,37.0
2023-03-13,Amazon RDS,us-west-2,18.42,10.81
2023-03-19,AWS Lambda,us-east-1,7.36,33.28
2023-03-28,Amazon RDS,eu-west-1,8.18,24.95
2023-03-03,Amazon RDS,us-west-2,15.78,37.17
2023-02-09,Amazon RDS,ap-south-1,5.5,16.42
2023-03-26,Amazon RDS,us-west-2,21.63,44.51
2023-03-21,Amazon CloudFront,us-east-1,12.96,4.31
2023-03-23,Amazon CloudFront,us-east-1,11.29,40.38
2023-02-22,Amazon S3,us-west-2,13.83,43.08
2023-01-24,Amazon EC2,ap-south-1,4.82,40.88
2023-01-26,Amazon RDS,ap-south-1,15.11,25.69
2023-03-30,Amazon S3,ap-south-1,9.35,21.98
2023-03-01,Amazon EC2,us-east-1,21.64,49.81
2023-02-10,AWS Lambda,us-west-2,4.88,11.54
2023-01-29,Amazon CloudFront,eu-west-1,12.66,27.39
2023-01-15,Amazon EC2,us-east-1,14.76,33.57
2023-02-14,AWS Lambda,ap-south-1,1.77,35.07
2023-03-06,Amazon EC2,us-west-2,9.36,10.28
2023-03-30,Amazon CloudFront,ap-south-1,17.85,32.73
2023-03-12,Amazon CloudFront,eu-west-1,19.87,40.94
2023-01-09,Amazon S3,ap-south-1,8.2,2.6
2023-03-29,Amazon RDS,ap-south-1,19.37,45.58
2023-01-01,Amazon EC2,eu-west-1,23.26,1.57
2023-01-08,Amazon EC2,us-west-2,20.71,17.86
2023-03-29,AWS Lambda,us-east-1,3.71,0.89
2023-03-04,Amazon CloudFront,us-west-2,18.01,3.95
2023-01-11,Amazon EC2,eu-west-1,8.35,45.57
2023-03-22,Amazon CloudFront,ap-south-1,23.73,17.81
2023-01-08,Amazon EC2,us-west-2,12.16,21.3
2023-02-04,Amazon S3,us-east-1,3.82,10.85
2023-02-04,Amazon RDS,eu-west-1,17.68,29.9
2023-02-02,Amazon EC2,us-west-2,8.43,29.78
2023-01-05,Amazon CloudFront,us-east-1,23.93,18.67
2023-02-10,Amazon S3,eu-west-1,23.53,16.72
2023-01-28,Amazon EC2,us-east-1,16.09,44.26
2023-01-07,AWS Lambda,eu-west-1,3.99,19.23
2023-03-14,Amazon RDS,ap-south-1,16.8,24.73
2023-03-13,Amazon EC2,us-west-2,3.14,14.24
2023-01-12,Amazon S3,us-east-1,1.68,39.36
2023-02-03,AWS Lambda,eu-west-1,19.93,19.93
2023-02-02,Amazon S3,us-east-1,5.82,25.73
2023-02-17,Amazon S3,us-east-1,9.72,12.74
2023-01-23,AWS Lambda,us-west-2,23.39,49.38
2023-03-03,Amazon S3,ap-south-1,8.75,14.65
2023-03-29,AWS Lambda,us-east-1,7.82,38.56
2023-02-06,Amazon EC2,eu-west-1,22.12,21.43
2023-02-13,AWS Lambda,eu-west-1,3.55,10.39
2023-03-27,AWS Lambda,ap-south-1,18.47,40.01
2023-02-04,Amazon RDS,eu-west-1,23.73,16.75
2023-03-06,AWS Lambda,ap-south-1,21.73,43.27
2023-02-16,AWS Lambda,eu-west-1,15.99,45.77
2023-03-19,Amazon EC2,us-west-2,8.22,43.01
2023-01-03,Amazon RDS,us-east-1,6.85,1.85
2023-01-01,Amazon CloudFront,us-west-2,19.84,39.39
2023-01-05,Amazon EC2,us-east-1,21.24,20.63
2023-03-31,Amazon EC2,us-east-1,13.09,43.7
2023-01-14,Amazon CloudFront,us-east-1,6.62,31.93
2023-01-27,AWS Lambda,us-west-2,3.6,41.7
2023-01-09,Amazon S3,us-east-1,3.01,25.02
2023-03-20,Amazon RDS,us-west-2,17.54,26.8
2023-01-15,Amazon S3,ap-south-1,10.66,7.3
2023-03-31,Amazon CloudFront,eu-west-1,21.82,39.22
2023-02-11,Amazon EC2,eu-west-1,18.01,21.03
2023-03-18,Amazon EC2,us-east-1,5.4,25.05
2023-02-20,Amazon RDS,us-west-2,15.12,39.28
2023-03-04,Amazon EC2,eu-west-1,11.02,29.98
2023-02-21,Amazon EC2,us-west-2,14.28,10.13
2023-01-04,Amazon RDS,us-west-2,17.98,29.55
2023-01-23,Amazon RDS,us-east-1,19.54,20.44
2023-01-15,Amazon CloudFront,eu-west-1,20.41,23.53
2023-02-12,Amazon EC2,us-east-1,6.84,1.51
2023-01-29,Amazon EC2,us-east-1,1.72,10.58
2023-02-05,Amazon CloudFront,eu-west-1,18.0,14.12
2023-01-13,AWS Lambda,eu-west-1,3.45,35.68
2023-02-01,AWS Lambda,ap-south-1,8.24,0.67
2023-03-12,AWS Lambda,ap-south-1,1.09,20.5
2023-02-28,Amazon CloudFront,us-west-2,16.68,46.21
2023-03-27,Amazon EC2,eu-west-1,4.84,5.68
2023-01-28,Amazon CloudFront,ap-south-1,16.07,25.87
2023-03-07,Amazon CloudFront,us-west-2,23.81,39.35
2023-02-11,AWS Lambda,us-west-2,2.67,47.13
2023-02-14,Amazon S3,us-west-2,2.77,37.36
2023-03-03,Amazon EC2,ap-south-1,8.83,36.06
2023-02-26,AWS Lambda,eu-west-1,20.93,41.34
2023-01-06,Amazon S3,us-east-1,5.96,22.37
2023-01-28,Amazon S3,us-west-2,9.29,40.31
2023-01-28,Amazon RDS,ap-south-1,2.58,0.5
2023-02-13,Amazon EC2,ap-south-1,18.55,46.24
2023-03-25,Amazon S3,us-east-1,10.39,22.22
2023-01-30,AWS Lambda,us-east-1,18.46,27.71
2023-03-03,Amazon RDS,ap-south-1,21.78,12.82
2023-03-16,Amazon EC2,eu-west-1,6.35,37.15
2023-03-30,Amazon CloudFront,us-east-1,19.57,3.92
2023-03-03,AWS Lambda,ap-south-1,2.36,43.64
2023-01-01,Amazon S3,us-east-1,21.67,41.42
2023-01-27,Amazon S3,eu-west-1,15.97,10.88
2023-03-03,AWS Lambda,us-west-2,21.11,40.49
2023-03-18,Amazon S3,us-east-1,1.0,39.34
2023-01-03,Amazon RDS,eu-west-1,4.89,31.65
2023-03-11,Amazon EC2,ap-south-1,9.96,18.74
2023-03-13,Amazon RDS,us-east-1,9.73,13.65
2023-01-27,Amazon S3,us-east-1,6.21,11.67
2023-01-09,Amazon CloudFront,ap-south-1,9.78,16.0
2023-03-03,Amazon EC2,us-west-2,3.96,45.19
2023-02-06,Amazon EC2,ap-south-1,10.49,3.97
2023-02-20,AWS Lambda,us-east-1,19.45,41.46
2023-02-13,AWS Lambda,ap-south-1,12.02,17.51
2023-01-24,Amazon CloudFront,eu-west-1,1.41,26.13
2023-03-20,Amazon EC2,ap-south-1,10.69,39.74
2023-02-28,Amazon CloudFront,us-east-1,1.63,44.23
2023-02-01,AWS Lambda,ap-south-1,23.22,17.3
2023-03-29,AWS Lambda,us-west-2,3.93,23.15
2023-02-21,Amazon EC2,ap-south-1,17.28,20.78
2023-03-03,Amazon RDS,us-west-2,23.37,0.76
2023-02-27,Amazon S3,eu-west-1,20.0,14.87
2023-02-21,AWS Lambda,us-west-2,17.08,23.01
2023-01-12,AWS Lambda,ap-south-1,20.31,20.61
2023-02-08,Amazon RDS,us-east-1,23.58,36.12
2023-01-02,Amazon RDS,us-west-2,15.29,19.3
2023-01-03,Amazon CloudFront,eu-west-1,13.86,24.52
2023-02-25,Amazon CloudFront,us-west-2,15.45,21.54
2023-03-22,Amazon S3,us-west-2,13.25,37.06
2023-02-28,Amazon S3,us-west-2,15.61,43.16
2023-01-02,Amazon EC2,eu-west-1,11.35,26.64
2023-01-02,Amazon CloudFront,ap-south-1,6.02,39.49
2023-02-23,AWS Lambda,us-west-2,3.77,14.91
2023-03-28,Amazon CloudFront,us-west-2,2.57,27.11
2023-01-01,AWS Lambda,us-east-1,7.06,17.33
2023-01-19,Amazon RDS,eu-west-1,2.06,20.77
2023-01-02,Amazon CloudFront,us-west-2,14.04,36.65
2023-02-22,Amazon RDS,eu-west-1,7.53,44.09
2023-02-13,Amazon S3,us-west-2,19.96,6.16
2023-03-31,Amazon S3,ap-south-1,2.71,31.77
2023-02-01,Amazon EC2,ap-south-1,6.21,29.15
2023-03-11,Amazon CloudFront,us-west-2,17.8,6.01
2023-02-01,Amazon RDS,ap-south-1,14.77,10.67
2023-03-09,AWS Lambda,us-west-2,2.48,15.62
2023-02-24,Amazon S3,ap-south-1,21.18,8.43
2023-03-16,Amazon S3,us-east-1,21.18,12.26
2023-02-25,AWS Lambda,us-east-1,8.6,13.45
2023-01-17,Amazon RDS,us-east-1,8.83,16.85
2023-02-07,Amazon RDS,eu-west-1,23.75,37.49
2023-01-24,Amazon CloudFront,eu-west-1,15.4,28.64
2023-03-10,Amazon CloudFront,us-east-1,13.22,49.31
2023-03-11,Amazon EC2,eu-west-1,20.28,20.8
2023-03-27,Amazon S3,ap-south-1,7.56,37.72
2023-01-11,Amazon CloudFront,us-west-2,10.87,43.59
2023-01-16,Amazon RDS,us-west-2,7.16,33.98
2023-03-14,AWS Lambda,us-west-2,19.15,20.65
2023-02-28,Amazon RDS,us-east-1,14.19,37.7
2023-03-11,Amazon S3,eu-west-1,16.15,10.26
2023-03-21,Amazon RDS,ap-south-1,6.8,16.44
2023-01-03,Amazon EC2,ap-south-1,6.07,27.38
2023-01-20,Amazon S3,us-east-1,12.23,28.81
2023-02-28,AWS Lambda,ap-south-1,17.96,1.2
2023-02-05,Amazon EC2,ap-south-1,13.08,47.26
2023-01-19,Amazon S3,ap-south-1,1.75,34.86
2023-03-31,AWS Lambda,ap-south-1,20.98,24.84
2023-03-08,Amazon EC2,eu-west-1,2.49,46.66
2023-01-19,Amazon EC2,ap-south-1,22.98,22.01
2023-01-20,Amazon S3,us-west-2,1.58,49.02
2023-03-12,Amazon CloudFront,us-east-1,16.97,25.66
2023-02-21,Amazon EC2,eu-west-1,2.89,5.8
2023-02-02,Amazon EC2,ap-south-1,21.95,38.26
2023-02-09,AWS Lambda,eu-west-1,11.68,33.98
2023-02-08,Amazon RDS,ap-south-1,4.16,38.67
2023-03-23,Amazon S3,us-west-2,8.84,47.58
2023-01-01,Amazon S3,us-east-1,4.79,38.85
2023-01-11,Amazon CloudFront,ap-south-1,4.92,30.61
2023-02-26,Amazon CloudFront,ap-south-1,22.81,42.88
2023-03-30,Amazon S3,ap-south-1,11.24,33.69
2023-02-19,Amazon CloudFront,ap-south-1,19.14,20.47
2023-01-23,AWS Lambda,us-east-1,15.71,44.29
2023-01-31,Amazon S3,us-east-1,16.56,11.17
2023-02-11,Amazon CloudFront,us-west-2,4.03,35.76
2023-01-07,Amazon S3,us-east-1,6.39,44.09
2023-01-16,Amazon RDS,ap-south-1,19.1,36.59
2023-03-31,Amazon EC2,us-west-2,23.33,34.89
2023-03-01,Amazon S3,us-west-2,7.04,37.66
2023-01-02,Amazon EC2,us-west-2,7.25,23.31
2023-01-01,Amazon CloudFront,ap-south-1,11.88,43.72
2023-02-17,Amazon EC2,eu-west-1,23.63,10.25
2023-01-12,Amazon S3,ap-south-1,7.19,6.46
2023-03-10,Amazon RDS,us-east-1,10.36,14.35
2023-02-06,Amazon CloudFront,us-east-1,21.5,26.63
2023-02-01,Amazon S3,ap-south-1,1.07,25.58
2023-01-09,Amazon CloudFront,ap-south-1,1.91,41.05
2023-01-19,AWS Lambda,us-west-2,14.89,20.29
2023-02-17,Amazon EC2,ap-south-1,21.87,24.27
2023-03-21,AWS Lambda,us-west-2,6.49,0.77
2023-01-03,Amazon S3,us-east-1,11.8,20.55
2023-01-20,Amazon RDS,us-west-2,11.36,32.42
2023-01-24,Amazon CloudFront,ap-south-1,11.88,0.87
2023-02-23,Amazon EC2,us-east-1,15.32,14.12
2023-02-02,Amazon CloudFront,eu-west-1,11.8,10.48
2023-01-24,Amazon S3,us-west-2,11.29,2.2
2023-03-16,Amazon CloudFront,us-east-1,11.91,24.02
2023-03-13,Amazon EC2,us-west-2,14.59,9.17
2023-02-05,Amazon S3,us-east-1,13.35,37.18
2023-02-07,Amazon CloudFront,us-east-1,20.65,42.41
2023-03-25,Amazon RDS,us-west-2,2.14,27.32
2023-03-30,Amazon S3,eu-west-1,20.17,49.09
2023-01-25,Amazon S3,us-east-1,20.41,22.58
2023-01-18,Amazon RDS,us-east-1,7.55,25.72
2023-03-23,AWS Lambda,us-east-1,11.65,49.46
2023-03-07,Amazon EC2,eu-west-1,11.09,11.65
2023-02-23,AWS Lambda,eu-west-1,6.03,47.13
2023-02-04,Amazon CloudFront,ap-south-1,10.13,2.24
2023-03-21,Amazon RDS,us-west-2,2.02,22.37
2023-03-02,AWS Lambda,eu-west-1,7.39,3.59
2023-02-10,Amazon S3,us-west-2,19.78,36.49
2023-02-02,Amazon CloudFront,ap-south-1,7.54,30.46
2023-03-09,Amazon CloudFront,us-west-2,19.82,35.36
2023-02-02,AWS Lambda,eu-west-1,13.23,18.79
2023-01-14,AWS Lambda,us-west-2,21.24,18.54
2023-01-21,Amazon RDS,eu-west-1,14.22,2.36
2023-02-17,Amazon EC2,us-west-2,1.68,17.56
2023-01-20,AWS Lambda,eu-west-1,16.53,46.47
2023-01-08,AWS Lambda,eu-west-1,2.03,19.02
2023-01-07,Amazon S3,us-west-2,11.36,41.59
2023-03-08,Amazon CloudFront,ap-south-1,22.38,42.13
2023-01-17,Amazon EC2,us-east-1,4.8,18.72
2023-02-02,Amazon S3,ap-south-1,9.97,31.64
2023-02-17,Amazon RDS,us-west-2,17.79,4.86
2023-03-17,Amazon RDS,ap-south-1,21.29,5.27
2023-02-28,AWS Lambda,eu-west-1,16.43,2.53
2023-03-27,AWS Lambda,us-east-1,6.94,29.09
2023-01-22,Amazon RDS,us-west-2,16.52,21.36
2023-01-30,AWS Lambda,us-west-2,7.82,27.45
2023-02-07,Amazon EC2,us-west-2,17.52,26.1
2023-02-20,AWS Lambda,us-east-1,22.94,17.58
2023-02-23,Amazon CloudFront,eu-west-1,17.59,33.91
2023-01-08,AWS Lambda,us-west-2,20.85,37.95
2023-01-27,Amazon S3,ap-south-1,1.05,0.83
2023-01-27,Amazon EC2,us-west-2,17.5,10.44
2023-01-21,Amazon S3,us-west-2,20.08,35.69
2023-01-30,Amazon S3,us-west-2,1.93,19.39
2023-01-28,Amazon CloudFront,us-west-2,21.05,33.16
2023-03-05,Amazon EC2,eu-west-1,6.9,17.41
2023-03-10,Amazon EC2,ap-south-1,16.3,19.6
2023-03-02,Amazon EC2,eu-west-1,19.41,8.02
2023-02-17,Amazon EC2,ap-south-1,16.24,12.99
2023-01-19,Amazon EC2,us-west-2,3.12,30.31
2023-01-04,Amazon CloudFront,us-east-1,14.72,21.71
2023-02-04,AWS Lambda,eu-west-1,13.64,38.74
2023-03-05,Amazon S3,us-east-1,21.71,42.64
2023-02-18,Amazon EC2,eu-west-1,10.3,27.13
2023-01-17,AWS Lambda,us-west-2,8.38,37.94
2023-02-13,AWS Lambda,eu-west-1,18.25,15.41
2023-01-30,Amazon S3,us-west-2,10.49,20.81
2023-02-15,Amazon CloudFront,eu-west-1,15.86,35.67
2023-01-06,Amazon RDS,us-west-2,15.87,19.37
2023-02-06,Amazon RDS,us-west-2,21.42,29.47
2023-01-24,AWS Lambda,ap-south-1,14.77,9.35
2023-02-15,Amazon S3,us-west-2,12.55,30.03
2023-02-22,Amazon RDS,ap-south-1,4.19,43.09
2023-03-01,AWS Lambda,us-west-2,3.66,43.45
2023-03-04,Amazon CloudFront,us-east-1,4.55,36.24
2023-03-26,Amazon RDS,us-west-2,4.95,37.31
2023-02-01,AWS Lambda,us-east-1,15.67,27.94
2023-03-28,AWS Lambda,us-east-1,18.04,29.27
2023-02-02,Amazon EC2,us-west-2,13.19,6.77
2023-03-08,Amazon CloudFront,us-east-1,20.07,22.25
2023-01-18,Amazon EC2,ap-south-1,23.8,22.59
2023-01-25,Amazon S3,eu-west-1,19.86,47.93
2023-02-23,Amazon EC2,us-west-2,16.98,21.61
2023-02-27,Amazon EC2,us-east-1,13.25,27.51
2023-03-08,Amazon RDS,us-west-2,11.32,26.71
2023-02-15,AWS Lambda,ap-south-1,2.94,31.87
2023-01-24,Amazon CloudFront,us-west-2,10.19,37.44
2023-02-01,Amazon EC2,us-west-2,21.93,11.33
2023-02-16,Amazon CloudFront,us-east-1,19.58,26.48
2023-03-27,Amazon EC2,ap-south-1,5.97,41.31
2023-01-23,Amazon S3,eu-west-1,11.73,23.21
2023-03-07,Amazon EC2,eu-west-1,19.78,14.0
2023-01-27,Amazon RDS,us-east-1,2.55,32.77
2023-01-02,AWS Lambda,us-west-2,9.91,41.21
2023-03-31,Amazon S3,us-east-1,20.59,3.25
2023-01-17,Amazon EC2,us-east-1,10.29,38.86
2023-02-02,Amazon CloudFront,us-east-1,2.79,41.1
2023-01-09,Amazon S3,us-west-2,13.48,23.13
2023-02-12,Amazon S3,ap-south-1,20.82,49.17
2023-02-17,Amazon EC2,us-east-1,14.58,39.36
2023-02-08,Amazon S3,us-west-2,6.2,38.71
2023-02-11,Amazon CloudFront,ap-south-1,9.84,37.42
2023-01-26,Amazon S3,us-east-1,11.35,7.62
2023-02-19,Amazon CloudFront,eu-west-1,14.32,10.94
2023-01-25,Amazon EC2,ap-south-1,18.47,23.25
2023-01-24,AWS Lambda,us-east-1,3.27,13.27
2023-01-13,Amazon S3,ap-south-1,21.46,20.82
2023-03-01,AWS Lambda,ap-south-1,1.28,44.43
2023-01-07,Amazon CloudFront,ap-south-1,9.51,41.23
2023-02-26,Amazon S3,ap-south-1,1.63,31.54
2023-02-05,Amazon RDS,ap-south-1,10.04,42.92
2023-02-14,AWS Lambda,ap-south-1,13.09,39.21
2023-01-20,Amazon S3,us-east-1,12.77,21.51
2023-03-06,AWS Lambda,eu-west-1,4.81,10.13
2023-01-08,Amazon S3,us-west-2,15.85,25.76
2023-01-16,Amazon EC2,ap-south-1,2.03,36.84
2023-01-14,AWS Lambda,us-west-2,18.52,21.88
2023-03-17,Amazon RDS,us-east-1,22.77,33.37
2023-03-28,Amazon RDS,ap-south-1,8.81,4.81
2023-01-15,Amazon CloudFront,eu-west-1,12.9,37.43
2023-03-07,Amazon S3,us-west-2,9.71,40.65
2023-02-01,AWS Lambda,ap-south-1,1.15,35.37
2023-03-28,Amazon CloudFront,us-east-1,9.88,48.37
2023-03-04,AWS Lambda,eu-west-1,19.21,41.35
2023-03-27,Amazon S3,us-west-2,14.71,45.16
2023-02-20,Amazon RDS,us-west-2,3.33,46.69
2023-01-25,Amazon EC2,ap-south-1,20.48,40.09
2023-02-27,Amazon RDS,eu-west-1,13.21,33.75
2023-03-04,Amazon CloudFront,eu-west-1,20.36,0.39
2023-03-03,Amazon EC2,eu-west-1,14.35,23.34
2023-01-22,Amazon CloudFront,eu-west-1,13.87,28.6
2023-02-27,Amazon S3,us-east-1,3.42,15.27
2023-02-27,Amazon EC2,eu-west-1,4.85,15.97
2023-03-27,Amazon CloudFront,us-west-2,23.36,48.06
2023-02-18,Amazon S3,us-west-2,6.26,44.6
2023-02-21,Amazon RDS,us-east-1,23.48,42.47
2023-02-11,Amazon S3,us-west-2,13.23,20.36
2023-03-11,AWS Lambda,us-west-2,4.12,0.78
2023-01-15,Amazon S3,eu-west-1,3.28,4.1
2023-02-23,Amazon S3,us-west-2,5.8,15.68
2023-03-01,AWS Lambda,us-east-1,22.29,0.89
2023-01-08,Amazon CloudFront,eu-west-1,10.53,0.96
2023-02-22,Amazon CloudFront,ap-south-1,10.09,45.84
2023-03-01,Amazon S3,eu-west-1,8.2,35.34
2023-01-05,AWS Lambda,us-east-1,4.38,15.52
2023-03-09,AWS Lambda,eu-west-1,12.22,6.72
2023-01-06,Amazon RDS,eu-west-1,3.99,25.63
2023-02-16,Amazon CloudFront,us-east-1,20.22,0.37
2023-02-24,Amazon EC2,eu-west-1,9.52,46.93
